date,borough,events_count,borough_normalized_events,day_normalized_events,total_events_by_borough,total_events_by_day
2017-04-14,B,2,0.00017362618282837052,0.08,11519,25
2017-04-14,Q,2,0.00018700327255726976,0.08,10695,25
2016-01-29,X,2,0.0001303780964797914,0.2222222222222222,15340,9
2019-04-14,B,2,0.00017362618282837052,0.4,11519,5
2016-01-29,R,2,0.00022696323195642307,0.2222222222222222,8812,9
2016-01-29,B,2,0.00017362618282837052,0.2222222222222222,11519,9
2014-01-29,X,2,0.0001303780964797914,0.2,15340,10
2013-01-30,R,2,0.00022696323195642307,0.25,8812,8
2013-01-29,M,2,6.948787436592315e-05,0.2857142857142857,28782,7
2015-04-16,B,2,0.00017362618282837052,0.14285714285714285,11519,14
2017-04-16,Q,2,0.00018700327255726976,0.1,10695,20
2016-01-28,R,2,0.00022696323195642307,0.125,8812,16
2014-04-17,Q,2,0.00018700327255726976,0.06451612903225806,10695,31
2015-04-17,R,2,0.00022696323195642307,0.08333333333333333,8812,24
2017-01-29,M,2,6.948787436592315e-05,0.11764705882352941,28782,17
2018-04-13,X,2,0.0001303780964797914,0.13333333333333333,15340,15
2016-02-05,R,2,0.00022696323195642307,0.18181818181818182,8812,11
2017-04-12,B,2,0.00017362618282837052,0.06896551724137931,11519,29
2013-04-11,X,2,0.0001303780964797914,0.0625,15340,32
2013-01-31,X,2,0.0001303780964797914,0.2222222222222222,15340,9
2019-01-30,M,2,6.948787436592315e-05,0.6666666666666666,28782,3
2018-01-30,R,2,0.00022696323195642307,0.16666666666666666,8812,12
2015-04-12,R,2,0.00022696323195642307,0.06451612903225806,8812,31
2016-04-12,B,2,0.00017362618282837052,0.1,11519,20
2017-01-30,M,2,6.948787436592315e-05,0.5,28782,4
2017-04-13,Q,2,0.00018700327255726976,0.06060606060606061,10695,33
2018-04-12,R,2,0.00022696323195642307,0.07142857142857142,8812,28
2016-01-30,Q,2,0.00018700327255726976,0.08695652173913043,10695,23
2015-04-13,Q,2,0.00018700327255726976,0.15384615384615385,10695,13
2016-04-13,B,2,0.00017362618282837052,0.2,11519,10
2016-04-13,M,2,6.948787436592315e-05,0.2,28782,10
2016-04-13,X,2,0.0001303780964797914,0.2,15340,10
2016-04-17,R,2,0.00022696323195642307,0.05405405405405406,8812,37
2017-04-17,M,2,6.948787436592315e-05,0.5,28782,4
2017-04-17,R,2,0.00022696323195642307,0.5,8812,4
2014-04-23,R,2,0.00022696323195642307,0.14285714285714285,8812,14
2013-04-22,R,2,0.00022696323195642307,0.09523809523809523,8812,21
2014-04-22,B,2,0.00017362618282837052,0.09523809523809523,11519,21
2014-04-22,Q,2,0.00018700327255726976,0.09523809523809523,10695,21
2015-04-22,Q,2,0.00018700327255726976,0.16666666666666666,10695,12
2015-04-22,R,2,0.00022696323195642307,0.16666666666666666,8812,12
2013-04-23,B,2,0.00017362618282837052,0.1,11519,20
2014-04-23,X,2,0.0001303780964797914,0.14285714285714285,15340,14
2015-01-28,Q,2,0.00018700327255726976,0.18181818181818182,10695,11
2015-04-23,B,2,0.00017362618282837052,0.15384615384615385,11519,13
